% TODO: \usepackage{graphicx} required
\begin{figure}
\centering
\includegraphics[width=0.7\linewidth]{step_latency_hist}
\caption{}
\label{fig:steplatencyhist}
\end{figure}
% TODO: \usepackage{graphicx} required
\begin{figure}
\centering
\includegraphics[width=0.7\linewidth]{step_latency_histogram}
\caption{}
\label{fig:steplatencyhistogram}
\end{figure}
% TODO: \usepackage{graphicx} required
\begin{figure}
\centering
\includegraphics[width=0.7\linewidth]{strategy_metrics}
\caption{}
\label{fig:strategymetrics}
\end{figure}
Step,Duration_ms
1,3.993
2,2.03
3,2.075
4,2.347
5,2.301
6,2.414
7,1.909
8,1.961
9,2.024
10,2.078
11,2.189
12,2.066
13,2.024
14,2.036
15,1.999
16,2.05
17,2.375
18,2.032
19,1.993
20,2.038
21,2.027
22,2.171
23,1.996
24,2.02
25,2.092
26,2.044
27,2.083
28,2.015
29,2.002
30,1.967
31,2.04
32,1.979
33,2.026
34,1.977
35,2.011
36,2.012
37,2.091
38,2.048
39,1.936
40,2.006
41,2.074
42,1.99
43,1.969
44,2.059
45,2.024
46,2.024
47,1.975
48,2.04
49,1.982
50,1.95
51,2.113
52,2.233
53,2.085
54,2.009
55,2.023
56,2.084
57,2.089
58,2.195
59,2.111
60,1.997
61,2.004
62,1.955
63,2.098
64,2.02
65,1.989
66,2.091
67,2.02
68,2.302
69,2.395
70,2.275
71,2.069
72,2.073
73,3.036
74,2.215
75,2.117
76,2.154
77,1.932
78,2.282
79,2.103
80,2.294
81,2.116
82,2.103
83,2.155
84,2.058
85,1.97
86,2.073
87,2.102
88,2.081
89,1.998
90,2.007
91,2.035
92,2.049
93,1.961
94,2.291
95,2.045
96,2.163
97,2.009
98,2.055
99,2.36
100,2.111
101,2.109
102,2.333
103,2.099
104,2.074
105,2.029
106,2.095
107,2.124
108,2.182
109,2.089
110,2.167
111,2.205
112,2.104
113,2.146
114,2.403
115,1.944
116,1.952
117,2.304
118,2.107
119,2.029
120,2.097
121,2.147
122,2.108
123,2.064
124,2.185
125,2.254
126,2.093
127,2.242
128,2.059
129,2.108
130,3.085
131,2.448
132,2.11
133,2.196
134,2.192
135,2.167
136,2.225
137,2.009
138,2.101
139,2.406
140,2.056
141,2.122
142,2.031
143,2.104
144,2.098
145,2.127
146,2.104
147,2.113
148,2.094
149,2.122
150,10.642
151,2.252
152,2.47
153,2.131
154,2.082
155,2.139
156,2.124
157,2.081
158,2.145
159,2.147
160,2.046
161,2.046
162,2.137
163,2.183
164,2.052
165,2.105
166,2.065
167,2.132
168,2.163
169,2.048
170,2.071
171,2.039
172,2.064
173,2.154
174,2.122
175,2.059
