ID,CPU,Memory,Disk,Power,OngoingMigrations,ServiceIDs,Step
1,8,16384,131072,289.751,4,[],1
2,8,16384,131072,165.99599999999998,0,[],1
3,8,8192,131072,66.9914,0,[],1
4,8,8192,131072,66.9914,0,[],1
5,12,16384,131072,74.50833333333334,0,[],1
6,12,16384,131072,131.55,2,[],1
1,8,16384,131072,475.3835,9,[],2
2,8,16384,131072,165.99599999999998,0,[],2
3,8,8192,131072,66.9914,0,[],2
4,8,8192,131072,66.9914,0,[],2
5,12,16384,131072,74.50833333333334,0,[],2
6,12,16384,131072,142.95833333333334,3,[],2
1,8,16384,131072,648.6405,14,"[1, 2]",3
2,8,16384,131072,190.74699999999999,1,[],3
3,8,8192,131072,66.9914,0,[],3
4,8,8192,131072,66.9914,0,[],3
5,12,16384,131072,74.50833333333334,0,[],3
6,12,16384,131072,142.95833333333334,3,[],3
1,8,16384,131072,834.273,20,"[1, 2]",4
2,8,16384,131072,190.74699999999999,1,[],4
3,8,8192,131072,66.9914,0,[],4
4,8,8192,131072,66.9914,0,[],4
5,12,16384,131072,74.50833333333334,0,[],4
6,12,16384,131072,142.95833333333334,3,[],4
1,8,16384,131072,958.0280000000001,23,"[1, 2]",5
2,8,16384,131072,190.74699999999999,1,[],5
3,8,8192,131072,66.9914,0,[],5
4,8,8192,131072,66.9914,0,[],5
5,12,16384,131072,74.50833333333334,0,[],5
6,12,16384,131072,177.18333333333334,4,[],5
1,8,16384,131072,1069.4075000000003,26,"[1, 2]",6
2,8,16384,131072,190.74699999999999,1,[],6
3,8,8192,131072,66.9914,0,[],6
4,8,8192,131072,66.9914,0,[],6
5,12,16384,131072,74.50833333333334,0,[],6
6,12,16384,131072,222.8166666666667,5,[],6
1,8,16384,131072,1217.9135,29,"[1, 2]",7
2,8,16384,131072,190.74699999999999,1,[],7
3,8,8192,131072,66.9914,0,[],7
4,8,8192,131072,66.9914,0,[],7
5,12,16384,131072,74.50833333333334,0,[],7
6,12,16384,131072,234.225,6,[],7
1,8,16384,131072,1341.6685000000002,32,"[1, 2]",8
2,8,16384,131072,190.74699999999999,1,[],8
3,8,8192,131072,66.9914,0,[],8
4,8,8192,131072,66.9914,0,[],8
5,12,16384,131072,74.50833333333334,0,[],8
6,12,16384,131072,268.45000000000005,7,[6],8
1,8,16384,131072,1391.1705000000002,34,"[1, 2, 4, 5, 6]",9
2,8,16384,131072,190.74699999999999,1,[],9
3,8,8192,131072,66.9914,0,[],9
4,8,8192,131072,66.9914,0,[],9
5,12,16384,131072,120.14166666666668,1,[],9
6,12,16384,131072,314.08333333333337,7,[],9
1,8,16384,131072,1329.2930000000001,32,"[1, 2, 3, 6]",10
2,8,16384,131072,190.74699999999999,1,[],10
3,8,8192,131072,66.9914,0,[],10
4,8,8192,131072,66.9914,0,[],10
5,12,16384,131072,120.14166666666668,1,[4],10
6,12,16384,131072,405.35,10,[5],10
1,8,16384,131072,1428.297,33,"[1, 2, 5]",11
2,8,16384,131072,190.74699999999999,1,[],11
3,8,8192,131072,66.9914,0,[],11
4,8,8192,131072,66.9914,0,[],11
5,12,16384,131072,74.50833333333334,0,[],11
6,12,16384,131072,359.7166666666667,10,"[3, 4, 6]",11
1,8,16384,131072,1453.0480000000002,34,"[1, 2, 3, 4, 5]",12
2,8,16384,131072,203.1225,2,[],12
3,8,8192,131072,66.9914,0,[],12
4,8,8192,131072,66.9914,0,[],12
5,12,16384,131072,74.50833333333334,0,[],12
6,12,16384,131072,325.4916666666667,8,[6],12
1,8,16384,131072,1403.5460000000003,33,"[2, 3, 4, 6]",13
2,8,16384,131072,203.1225,2,[1],13
3,8,8192,131072,66.9914,0,[],13
4,8,8192,131072,66.9914,0,[],13
5,12,16384,131072,120.14166666666668,1,[],13
6,12,16384,131072,325.4916666666667,8,[5],13
1,8,16384,131072,1465.4235000000003,34,"[1, 2, 3, 5]",14
2,8,16384,131072,190.74699999999999,1,[],14
3,8,8192,131072,66.9914,0,[],14
4,8,8192,131072,66.9914,0,[],14
5,12,16384,131072,120.14166666666668,1,[4],14
6,12,16384,131072,279.85833333333335,8,[6],14
1,8,16384,131072,1465.4235000000003,35,"[1, 2, 3, 4, 5]",15
2,8,16384,131072,190.74699999999999,1,[],15
3,8,8192,131072,66.9914,0,[],15
4,8,8192,131072,66.9914,0,[],15
5,12,16384,131072,74.50833333333334,0,[],15
6,12,16384,131072,325.4916666666667,8,[6],15
1,8,16384,131072,1403.5460000000003,34,"[1, 2, 3, 4, 6]",16
2,8,16384,131072,190.74699999999999,1,[],16
3,8,8192,131072,66.9914,0,[],16
4,8,8192,131072,66.9914,0,[],16
5,12,16384,131072,74.50833333333334,0,[],16
6,12,16384,131072,382.5333333333334,9,[5],16
1,8,16384,131072,1428.297,33,"[1, 2, 3, 4]",17
2,8,16384,131072,190.74699999999999,1,[],17
3,8,8192,131072,66.9914,0,[],17
4,8,8192,131072,66.9914,0,[],17
5,12,16384,131072,85.91666666666667,1,[],17
6,12,16384,131072,348.30833333333334,9,"[5, 6]",17
1,8,16384,131072,1502.5500000000002,35,"[1, 3, 4, 5]",18
2,8,16384,131072,190.74699999999999,1,[],18
3,8,8192,131072,66.9914,0,[],18
4,8,8192,131072,66.9914,0,[],18
5,12,16384,131072,85.91666666666667,1,[6],18
6,12,16384,131072,279.85833333333335,7,[2],18
1,8,16384,131072,1527.301,36,"[1, 2, 3, 4, 5, 6]",19
2,8,16384,131072,203.1225,2,[],19
3,8,8192,131072,66.9914,0,[],19
4,8,8192,131072,66.9914,0,[],19
5,12,16384,131072,74.50833333333334,0,[],19
6,12,16384,131072,257.0416666666667,6,[],19
1,8,16384,131072,1502.5500000000002,35,"[2, 3, 4, 5, 6]",20
2,8,16384,131072,227.87349999999998,3,[1],20
3,8,8192,131072,66.9914,0,[],20
4,8,8192,131072,66.9914,0,[],20
5,12,16384,131072,74.50833333333334,0,[],20
6,12,16384,131072,257.0416666666667,6,[],20
1,8,16384,131072,1502.5500000000002,35,"[1, 3, 4, 5, 6]",21
2,8,16384,131072,215.498,2,[2],21
3,8,8192,131072,66.9914,0,[],21
4,8,8192,131072,66.9914,0,[],21
5,12,16384,131072,74.50833333333334,0,[],21
6,12,16384,131072,268.45000000000005,7,[],21
1,8,16384,131072,1453.0480000000002,34,"[2, 3, 4, 5, 6]",22
2,8,16384,131072,190.74699999999999,1,[],22
3,8,8192,131072,66.9914,0,[],22
4,8,8192,131072,66.9914,0,[],22
5,12,16384,131072,74.50833333333334,0,[],22
6,12,16384,131072,336.90000000000003,9,[1],22
1,8,16384,131072,1453.0480000000002,34,"[2, 3, 4, 6]",23
2,8,16384,131072,190.74699999999999,1,[],23
3,8,8192,131072,85.867475,1,[],23
4,8,8192,131072,66.9914,0,[],23
5,12,16384,131072,74.50833333333334,0,[],23
6,12,16384,131072,325.4916666666667,8,"[1, 5]",23
1,8,16384,131072,1539.6765,38,"[1, 2, 3, 4, 5, 6]",24
2,8,16384,131072,190.74699999999999,1,[],24
3,8,8192,131072,85.867475,1,[],24
4,8,8192,131072,66.9914,0,[],24
5,12,16384,131072,74.50833333333334,0,[],24
6,12,16384,131072,257.0416666666667,6,[],24
1,8,16384,131072,1527.301,37,"[1, 2, 3, 4, 5, 6]",25
2,8,16384,131072,190.74699999999999,1,[],25
3,8,8192,131072,85.867475,1,[],25
4,8,8192,131072,66.9914,0,[],25
5,12,16384,131072,74.50833333333334,0,[],25
6,12,16384,131072,268.45000000000005,7,[],25
1,8,16384,131072,1514.9255000000003,36,"[2, 3, 4, 5, 6]",26
2,8,16384,131072,190.74699999999999,1,[],26
3,8,8192,131072,85.867475,1,[],26
4,8,8192,131072,66.9914,0,[],26
5,12,16384,131072,74.50833333333334,0,[],26
6,12,16384,131072,279.85833333333335,8,[1],26
1,8,16384,131072,1527.301,37,"[1, 2, 3, 4, 5]",27
2,8,16384,131072,190.74699999999999,1,[],27
3,8,8192,131072,85.867475,1,[],27
4,8,8192,131072,66.9914,0,[],27
5,12,16384,131072,74.50833333333334,0,[],27
6,12,16384,131072,268.45000000000005,7,[6],27
1,8,16384,131072,1527.301,37,"[1, 2, 3, 4, 5, 6]",28
2,8,16384,131072,190.74699999999999,1,[],28
3,8,8192,131072,85.867475,1,[],28
4,8,8192,131072,66.9914,0,[],28
5,12,16384,131072,74.50833333333334,0,[],28
6,12,16384,131072,268.45000000000005,7,[],28
1,8,16384,131072,1527.301,37,"[2, 3, 4, 5, 6]",29
2,8,16384,131072,190.74699999999999,1,[],29
3,8,8192,131072,85.867475,1,[],29
4,8,8192,131072,66.9914,0,[],29
5,12,16384,131072,74.50833333333334,0,[],29
6,12,16384,131072,268.45000000000005,7,[1],29
1,8,16384,131072,1391.1705000000002,35,"[1, 2, 3, 4, 5, 6]",30
2,8,16384,131072,190.74699999999999,1,[],30
3,8,8192,131072,85.867475,1,[],30
4,8,8192,131072,66.9914,0,[],30
5,12,16384,131072,74.50833333333334,0,[],30
6,12,16384,131072,393.94166666666666,9,[],30
1,8,16384,131072,1391.1705000000002,35,"[1, 2, 6]",31
2,8,16384,131072,190.74699999999999,1,[],31
3,8,8192,131072,85.867475,1,[],31
4,8,8192,131072,66.9914,0,[],31
5,12,16384,131072,74.50833333333334,0,[],31
6,12,16384,131072,393.94166666666666,9,"[3, 4, 5]",31
1,8,16384,131072,1514.9255000000003,37,"[1, 2, 3, 4, 5, 6]",32
2,8,16384,131072,190.74699999999999,1,[],32
3,8,8192,131072,85.867475,1,[],32
4,8,8192,131072,66.9914,0,[],32
5,12,16384,131072,74.50833333333334,0,[],32
6,12,16384,131072,279.85833333333335,7,[],32
1,8,16384,131072,1465.4235000000003,36,"[1, 3, 4, 5, 6]",33
2,8,16384,131072,190.74699999999999,1,[],33
3,8,8192,131072,85.867475,1,[],33
4,8,8192,131072,66.9914,0,[],33
5,12,16384,131072,74.50833333333334,0,[],33
6,12,16384,131072,325.4916666666667,8,[2],33
1,8,16384,131072,1453.0480000000002,35,"[1, 2, 3, 5, 6]",34
2,8,16384,131072,203.1225,2,[],34
3,8,8192,131072,85.867475,1,[],34
4,8,8192,131072,66.9914,0,[],34
5,12,16384,131072,74.50833333333334,0,[],34
6,12,16384,131072,325.4916666666667,8,[4],34
1,8,16384,131072,1391.1705000000002,34,"[3, 4, 5, 6]",35
2,8,16384,131072,203.1225,2,[1],35
3,8,8192,131072,85.867475,1,[],35
4,8,8192,131072,66.9914,0,[],35
5,12,16384,131072,131.55,1,[],35
6,12,16384,131072,325.4916666666667,8,[2],35
1,8,16384,131072,1415.9215,35,"[1, 2, 3, 6]",36
2,8,16384,131072,203.1225,2,[],36
3,8,8192,131072,85.867475,1,[],36
4,8,8192,131072,66.9914,0,[],36
5,12,16384,131072,131.55,1,[5],36
6,12,16384,131072,302.675,7,[4],36
1,8,16384,131072,1502.5500000000002,35,"[2, 3, 4, 5, 6]",37
2,8,16384,131072,215.498,3,[1],37
3,8,8192,131072,104.74355,2,[],37
4,8,8192,131072,66.9914,0,[],37
5,12,16384,131072,74.50833333333334,0,[],37
6,12,16384,131072,257.0416666666667,6,[],37
1,8,16384,131072,1465.4235000000003,37,"[2, 3, 4, 5, 6]",38
2,8,16384,131072,215.498,4,[1],38
3,8,8192,131072,104.74355,2,[],38
4,8,8192,131072,66.9914,0,[],38
5,12,16384,131072,74.50833333333334,0,[],38
6,12,16384,131072,314.08333333333337,7,[],38
1,8,16384,131072,1428.297,37,"[1, 2, 3, 4, 6]",39
2,8,16384,131072,203.1225,3,[],39
3,8,8192,131072,104.74355,2,[],39
4,8,8192,131072,66.9914,0,[],39
5,12,16384,131072,74.50833333333334,0,[],39
6,12,16384,131072,359.7166666666667,8,[5],39
1,8,16384,131072,1403.5460000000003,36,"[1, 2, 3, 5, 6]",40
2,8,16384,131072,203.1225,3,[],40
3,8,8192,131072,104.74355,2,[],40
4,8,8192,131072,66.9914,0,[],40
5,12,16384,131072,74.50833333333334,0,[],40
6,12,16384,131072,382.5333333333334,9,[4],40
1,8,16384,131072,1403.5460000000003,35,"[1, 2, 5, 6]",41
2,8,16384,131072,203.1225,3,[],41
3,8,8192,131072,104.74355,2,[],41
4,8,8192,131072,66.9914,0,[],41
5,12,16384,131072,74.50833333333334,0,[],41
6,12,16384,131072,382.5333333333334,10,"[3, 4]",41
1,8,16384,131072,1453.0480000000002,36,"[1, 2, 4, 5]",42
2,8,16384,131072,203.1225,3,[],42
3,8,8192,131072,104.74355,2,[],42
4,8,8192,131072,66.9914,0,[],42
5,12,16384,131072,74.50833333333334,0,[],42
6,12,16384,131072,336.90000000000003,9,"[3, 6]",42
1,8,16384,131072,1502.5500000000002,38,"[1, 2, 4, 5, 6]",43
2,8,16384,131072,203.1225,3,[],43
3,8,8192,131072,104.74355,2,[],43
4,8,8192,131072,66.9914,0,[],43
5,12,16384,131072,74.50833333333334,0,[],43
6,12,16384,131072,291.2666666666667,7,[3],43
1,8,16384,131072,1514.9255000000003,38,"[1, 2, 3, 4, 5, 6]",44
2,8,16384,131072,203.1225,3,[],44
3,8,8192,131072,104.74355,2,[],44
4,8,8192,131072,66.9914,0,[],44
5,12,16384,131072,74.50833333333334,0,[],44
6,12,16384,131072,279.85833333333335,7,[],44
1,8,16384,131072,1378.795,34,"[1, 3, 4, 5, 6]",45
2,8,16384,131072,203.1225,3,[],45
3,8,8192,131072,104.74355,2,[],45
4,8,8192,131072,66.9914,0,[],45
5,12,16384,131072,120.14166666666668,1,[],45
6,12,16384,131072,359.7166666666667,10,[2],45
1,8,16384,131072,1366.4195,34,"[2, 3]",46
2,8,16384,131072,203.1225,3,[],46
3,8,8192,131072,104.74355,2,[],46
4,8,8192,131072,66.9914,0,[],46
5,12,16384,131072,120.14166666666668,1,[4],46
6,12,16384,131072,371.125,10,"[1, 5, 6]",46
1,8,16384,131072,1453.0480000000002,36,"[1, 2, 4, 5, 6]",47
2,8,16384,131072,215.498,4,[],47
3,8,8192,131072,104.74355,2,[],47
4,8,8192,131072,66.9914,0,[],47
5,12,16384,131072,74.50833333333334,0,[],47
6,12,16384,131072,325.4916666666667,8,[3],47
1,8,16384,131072,1490.1745,37,"[2, 4, 5, 6]",48
2,8,16384,131072,215.498,4,[1],48
3,8,8192,131072,104.74355,2,[],48
4,8,8192,131072,66.9914,0,[],48
5,12,16384,131072,74.50833333333334,0,[],48
6,12,16384,131072,291.2666666666667,7,[3],48
1,8,16384,131072,1527.301,38,"[1, 2, 3, 4, 5, 6]",49
2,8,16384,131072,203.1225,3,[],49
3,8,8192,131072,104.74355,2,[],49
4,8,8192,131072,66.9914,0,[],49
5,12,16384,131072,74.50833333333334,0,[],49
6,12,16384,131072,268.45000000000005,7,[],49
1,8,16384,131072,1527.301,38,"[1, 2, 3, 4, 5]",50
2,8,16384,131072,203.1225,3,[],50
3,8,8192,131072,104.74355,2,[],50
4,8,8192,131072,66.9914,0,[],50
5,12,16384,131072,74.50833333333334,0,[],50
6,12,16384,131072,268.45000000000005,7,[6],50
1,8,16384,131072,1403.5460000000003,36,"[1, 2, 3, 4, 5, 6]",51
2,8,16384,131072,252.62449999999998,4,[],51
3,8,8192,131072,199.123925,3,[],51
4,8,8192,131072,66.9914,0,[],51
5,12,16384,131072,74.50833333333334,0,[],51
6,12,16384,131072,279.85833333333335,7,[],51
1,8,16384,131072,1453.0480000000002,38,"[1, 3, 4, 6]",52
2,8,16384,131072,252.62449999999998,4,[],52
3,8,8192,131072,199.123925,3,[5],52
4,8,8192,131072,66.9914,0,[],52
5,12,16384,131072,74.50833333333334,0,[],52
6,12,16384,131072,279.85833333333335,7,[2],52
1,8,16384,131072,1465.4235000000003,38,"[1, 2, 3, 4, 5, 6]",53
2,8,16384,131072,252.62449999999998,4,[],53
3,8,8192,131072,104.74355,2,[],53
4,8,8192,131072,66.9914,0,[],53
5,12,16384,131072,74.50833333333334,0,[],53
6,12,16384,131072,325.4916666666667,8,[],53
1,8,16384,131072,1453.0480000000002,37,"[2, 3, 4, 6]",54
2,8,16384,131072,252.62449999999998,4,[],54
3,8,8192,131072,104.74355,2,[],54
4,8,8192,131072,66.9914,0,[],54
5,12,16384,131072,74.50833333333334,0,[],54
6,12,16384,131072,336.90000000000003,9,"[1, 5]",54
1,8,16384,131072,1428.297,37,"[1, 2, 3, 4, 5]",55
2,8,16384,131072,314.502,5,[],55
3,8,8192,131072,104.74355,2,[],55
4,8,8192,131072,66.9914,0,[],55
5,12,16384,131072,108.73333333333333,1,[],55
6,12,16384,131072,268.45000000000005,7,[6],55
1,8,16384,131072,1354.0440000000003,36,"[1, 2, 4, 6]",56
2,8,16384,131072,314.502,5,[5],56
3,8,8192,131072,104.74355,2,[],56
4,8,8192,131072,66.9914,0,[],56
5,12,16384,131072,108.73333333333333,1,[3],56
6,12,16384,131072,336.90000000000003,8,[],56
1,8,16384,131072,1428.297,37,"[1, 2, 5, 6]",57
2,8,16384,131072,252.62449999999998,4,[],57
3,8,8192,131072,104.74355,2,[],57
4,8,8192,131072,66.9914,0,[],57
5,12,16384,131072,74.50833333333334,0,[],57
6,12,16384,131072,359.7166666666667,9,"[3, 4]",57
1,8,16384,131072,1514.9255000000003,39,"[1, 3, 4, 5, 6]",58
2,8,16384,131072,252.62449999999998,4,[],58
3,8,8192,131072,104.74355,2,[],58
4,8,8192,131072,66.9914,0,[],58
5,12,16384,131072,74.50833333333334,0,[],58
6,12,16384,131072,279.85833333333335,7,[2],58
1,8,16384,131072,1477.7990000000004,38,"[1, 2, 3, 4, 5, 6]",59
2,8,16384,131072,252.62449999999998,4,[],59
3,8,8192,131072,104.74355,2,[],59
4,8,8192,131072,66.9914,0,[],59
5,12,16384,131072,74.50833333333334,0,[],59
6,12,16384,131072,314.08333333333337,8,[],59
1,8,16384,131072,1477.7990000000004,38,"[1, 4, 5, 6]",60
2,8,16384,131072,252.62449999999998,4,[],60
3,8,8192,131072,104.74355,2,[],60
4,8,8192,131072,66.9914,0,[],60
5,12,16384,131072,74.50833333333334,0,[],60
6,12,16384,131072,314.08333333333337,8,"[2, 3]",60
1,8,16384,131072,1428.297,36,"[1, 2, 3, 4, 5, 6]",61
2,8,16384,131072,314.502,7,[],61
3,8,8192,131072,104.74355,2,[],61
4,8,8192,131072,66.9914,0,[],61
5,12,16384,131072,74.50833333333334,0,[],61
6,12,16384,131072,302.675,7,[],61
1,8,16384,131072,1415.9215,35,"[2, 5]",62
2,8,16384,131072,326.87750000000005,8,"[1, 3, 6]",62
3,8,8192,131072,104.74355,2,[],62
4,8,8192,131072,66.9914,0,[],62
5,12,16384,131072,74.50833333333334,0,[],62
6,12,16384,131072,302.675,7,[4],62
1,8,16384,131072,1514.9255000000003,38,"[1, 2, 3, 4, 5]",63
2,8,16384,131072,265.0,5,[6],63
3,8,8192,131072,104.74355,2,[],63
4,8,8192,131072,66.9914,0,[],63
5,12,16384,131072,74.50833333333334,0,[],63
6,12,16384,131072,268.45000000000005,7,[],63
1,8,16384,131072,1527.301,39,"[2, 3, 4, 5, 6]",64
2,8,16384,131072,252.62449999999998,4,[],64
3,8,8192,131072,104.74355,2,[],64
4,8,8192,131072,66.9914,0,[],64
5,12,16384,131072,74.50833333333334,0,[],64
6,12,16384,131072,268.45000000000005,7,[1],64
1,8,16384,131072,1502.5500000000002,39,"[1, 2, 3, 4, 5, 6]",65
2,8,16384,131072,252.62449999999998,4,[],65
3,8,8192,131072,104.74355,2,[],65
4,8,8192,131072,66.9914,0,[],65
5,12,16384,131072,74.50833333333334,0,[],65
6,12,16384,131072,291.2666666666667,7,[],65
1,8,16384,131072,1477.7990000000004,38,"[1, 2, 4, 5, 6]",66
2,8,16384,131072,252.62449999999998,4,[],66
3,8,8192,131072,104.74355,2,[],66
4,8,8192,131072,66.9914,0,[],66
5,12,16384,131072,74.50833333333334,0,[],66
6,12,16384,131072,314.08333333333337,8,[3],66
1,8,16384,131072,1465.4235000000003,38,"[1, 3, 4, 5, 6]",67
2,8,16384,131072,252.62449999999998,4,[],67
3,8,8192,131072,104.74355,2,[],67
4,8,8192,131072,66.9914,0,[],67
5,12,16384,131072,120.14166666666668,1,[],67
6,12,16384,131072,279.85833333333335,7,[2],67
1,8,16384,131072,1403.5460000000003,37,"[1, 2, 3, 5, 6]",68
2,8,16384,131072,252.62449999999998,4,[],68
3,8,8192,131072,104.74355,2,[],68
4,8,8192,131072,66.9914,0,[],68
5,12,16384,131072,120.14166666666668,1,[4],68
6,12,16384,131072,336.90000000000003,8,[],68
1,8,16384,131072,1428.297,37,"[1, 3, 4, 6]",69
2,8,16384,131072,252.62449999999998,4,[],69
3,8,8192,131072,104.74355,2,[],69
4,8,8192,131072,66.9914,0,[],69
5,12,16384,131072,74.50833333333334,0,[],69
6,12,16384,131072,359.7166666666667,9,"[2, 5]",69
1,8,16384,131072,1514.9255000000003,39,"[1, 3, 4, 5, 6]",70
2,8,16384,131072,252.62449999999998,4,[],70
3,8,8192,131072,104.74355,2,[],70
4,8,8192,131072,66.9914,0,[],70
5,12,16384,131072,74.50833333333334,0,[],70
6,12,16384,131072,279.85833333333335,7,[2],70
1,8,16384,131072,1453.0480000000002,38,"[1, 2, 3, 4, 5, 6]",71
2,8,16384,131072,252.62449999999998,4,[],71
3,8,8192,131072,104.74355,2,[],71
4,8,8192,131072,66.9914,0,[],71
5,12,16384,131072,74.50833333333334,0,[],71
6,12,16384,131072,336.90000000000003,8,[],71
1,8,16384,131072,1440.6725000000001,37,"[1, 3, 4, 6]",72
2,8,16384,131072,252.62449999999998,4,[],72
3,8,8192,131072,104.74355,2,[],72
4,8,8192,131072,66.9914,0,[],72
5,12,16384,131072,74.50833333333334,0,[],72
6,12,16384,131072,348.30833333333334,9,"[2, 5]",72
1,8,16384,131072,1465.4235000000003,38,"[2, 3, 4, 5, 6]",73
2,8,16384,131072,252.62449999999998,4,[],73
3,8,8192,131072,104.74355,2,[],73
4,8,8192,131072,66.9914,0,[],73
5,12,16384,131072,74.50833333333334,0,[],73
6,12,16384,131072,325.4916666666667,8,[1],73
1,8,16384,131072,1440.6725000000001,38,"[1, 2, 3, 4, 6]",74
2,8,16384,131072,252.62449999999998,4,[],74
3,8,8192,131072,104.74355,2,[],74
4,8,8192,131072,66.9914,0,[],74
5,12,16384,131072,74.50833333333334,0,[],74
6,12,16384,131072,348.30833333333334,8,[5],74
1,8,16384,131072,1453.0480000000002,38,"[1, 2, 4, 5, 6]",75
2,8,16384,131072,252.62449999999998,4,[],75
3,8,8192,131072,104.74355,2,[],75
4,8,8192,131072,66.9914,0,[],75
5,12,16384,131072,74.50833333333334,0,[],75
6,12,16384,131072,336.90000000000003,8,[3],75
1,8,16384,131072,1428.297,37,"[1, 2, 3, 5, 6]",76
2,8,16384,131072,252.62449999999998,4,[],76
3,8,8192,131072,104.74355,2,[],76
4,8,8192,131072,66.9914,0,[],76
5,12,16384,131072,97.325,1,[],76
6,12,16384,131072,336.90000000000003,8,[4],76
1,8,16384,131072,1366.4195,36,"[1, 4, 5, 6]",77
2,8,16384,131072,252.62449999999998,4,[],77
3,8,8192,131072,104.74355,2,[],77
4,8,8192,131072,66.9914,0,[],77
