ID,AssignedTo,CPUDemand,SemanticVector,Step
1,,1,"[0.41051235795021057, 0.2863805592060089, 0.42250949144363403, 0.9540359377861023, 0.9770551323890686, 0.559222400188446, 0.260653555393219, 0.5996376276016235, 0.6698638200759888, 0.46208199858665466, 0.017378924414515495, 0.42221713066101074, 0.32288095355033875, 0.03537856414914131, 0.6937629580497742, 0.8113229870796204]",1
2,,2,"[0.2002009004354477, 0.11167790740728378, 0.17959414422512054, 0.5612029433250427, 0.38781848549842834, 0.8337415456771851, 0.6531924605369568, 0.9321604371070862, 0.01597418636083603, 0.030804473906755447, 0.7298951745033264, 0.5254071950912476, 0.025578627362847328, 0.16417409479618073, 0.27243414521217346, 0.9849801659584045]",1
3,,3,"[0.7942640781402588, 0.4611051678657532, 0.003344551660120487, 0.5192811489105225, 0.3184691369533539, 0.9550451040267944, 0.5905477404594421, 0.32614681124687195, 0.12523296475410461, 0.2510185241699219, 0.49056297540664673, 0.8920535445213318, 0.8530058860778809, 0.48556527495384216, 0.041760873049497604, 0.49088314175605774]",1
4,,4,"[0.8269988298416138, 0.2512228190898895, 0.9201443195343018, 0.5504932999610901, 0.17520302534103394, 0.0459919236600399, 0.5293654799461365, 0.22374847531318665, 0.9243067502975464, 0.7881494760513306, 0.9035998582839966, 0.3635581135749817, 0.9731318950653076, 0.06863044202327728, 0.29103371500968933, 0.19091147184371948]",1
5,,5,"[0.36925092339515686, 0.21809762716293335, 0.05666724219918251, 0.6047165393829346, 0.25139328837394714, 0.6573421955108643, 0.3111252188682556, 0.5670566558837891, 0.10058505833148956, 0.568666934967041, 0.17052267491817474, 0.9115399718284607, 0.48803502321243286, 0.5710970163345337, 0.8184961080551147, 0.8165151476860046]",1
6,,1,"[0.6614727973937988, 0.5389192700386047, 0.21358144283294678, 0.8231401443481445, 0.03211665898561478, 0.25939661264419556, 0.3687053918838501, 0.19160258769989014, 0.46022406220436096, 0.4225222170352936, 0.6677289605140686, 0.7843043208122253, 0.8173604607582092, 0.4671815037727356, 0.15590240061283112, 0.4157070219516754]",1
1,,1,"[0.6653574109077454, 0.3648858666419983, 0.17306874692440033, 0.835267961025238, 0.7073233127593994, 0.5112488269805908, 0.9980634450912476, 0.6094573736190796, 0.3422758877277374, 0.5262411236763, 0.8383033275604248, 0.05766364932060242, 0.7409857511520386, 0.0945650264620781, 0.82099848985672, 0.03820831701159477]",2
2,,2,"[0.03490135446190834, 0.596844494342804, 0.4602000415325165, 0.24917152523994446, 0.6189545392990112, 0.6748986840248108, 0.06679629534482956, 0.8894895911216736, 0.013524084351956844, 0.09757248312234879, 0.4476870596408844, 0.8107904195785522, 0.742489755153656, 0.41994330286979675, 0.3410062789916992, 0.2840143144130707]",2
3,,3,"[0.2150750756263733, 0.6745567917823792, 0.945621132850647, 0.5321096181869507, 0.1270924061536789, 0.7075052857398987, 0.3444860875606537, 0.03498457744717598, 0.3903868794441223, 0.9975696802139282, 0.5676913857460022, 0.9679622650146484, 0.7847591042518616, 0.47606655955314636, 0.6336684226989746, 0.08658544719219208]",2
4,,4,"[0.47542664408683777, 0.3710215985774994, 0.5723594427108765, 0.8888528943061829, 0.9747116565704346, 0.7058948278427124, 0.044506531208753586, 0.14719782769680023, 0.41674065589904785, 0.3164544701576233, 0.7180100679397583, 0.758739173412323, 0.4716701805591583, 0.3185000717639923, 0.7101597785949707, 0.6687378287315369]",2
5,,5,"[0.030469054356217384, 0.25180283188819885, 0.8115524649620056, 0.9021880030632019, 0.7920340895652771, 0.19956541061401367, 0.9656615257263184, 0.27836349606513977, 0.5473998785018921, 0.14225327968597412, 0.6476591229438782, 0.9329507946968079, 0.45152023434638977, 0.6646729111671448, 0.3971037268638611, 0.14047771692276]",2
6,,1,"[0.37540900707244873, 0.6397385001182556, 0.9264194369316101, 0.5442548394203186, 0.33192795515060425, 0.8320001363754272, 0.29664477705955505, 0.9243237376213074, 0.7690906524658203, 0.7374694347381592, 0.34126055240631104, 0.8846784234046936, 0.8974776268005371, 0.7162688374519348, 0.05957627668976784, 0.6183111667633057]",2
1,1.0,1,"[0.05328773334622383, 0.20935148000717163, 0.49087780714035034, 0.9386715292930603, 0.8772358894348145, 0.1422809511423111, 0.7188023924827576, 0.6115814447402954, 0.2577807605266571, 0.1289907842874527, 0.1414594203233719, 0.9154483675956726, 0.0813518539071083, 0.10509612411260605, 0.2640670835971832, 0.7691739201545715]",3
2,1.0,2,"[0.414348840713501, 0.4467686414718628, 0.17283111810684204, 0.7963535785675049, 0.04190317168831825, 0.48105764389038086, 0.1439686268568039, 0.5336010456085205, 0.11887101083993912, 0.4679933190345764, 0.3621593117713928, 0.1500472128391266, 0.1837659329175949, 0.5854917764663696, 0.11750424653291702, 0.47496557235717773]",3
3,,3,"[0.39716821908950806, 0.03336663544178009, 0.7906802892684937, 0.7889977693557739, 0.6548710465431213, 0.3217300474643707, 0.04060729593038559, 0.937543511390686, 0.8098456263542175, 0.21607519686222076, 0.5642014145851135, 0.5948016047477722, 0.1504739671945572, 0.15270692110061646, 0.10850100964307785, 0.8017407059669495]",3
4,,4,"[0.9174156188964844, 0.251620352268219, 0.5777227282524109, 0.15091601014137268, 0.30399104952812195, 0.864425778388977, 0.5655242800712585, 0.474794864654541, 0.7130935192108154, 0.8516114950180054, 0.7312735319137573, 0.6658593416213989, 0.08971252292394638, 0.008551971055567265, 0.7385270595550537, 0.9426134824752808]",3
5,,5,"[0.420581579208374, 0.7864784598350525, 0.21840396523475647, 0.3505955934524536, 0.5839040875434875, 0.7649375796318054, 0.35574573278427124, 0.7376099228858948, 0.7624511122703552, 0.7090296745300293, 0.8456358909606934, 0.6849978566169739, 0.250074177980423, 0.9698362350463867, 0.6999222040176392, 0.28264832496643066]",3
