Step,Power,Reward,Latency_ms,Migrations,Fidelity,BytesExchanged,TotalMigrations,Lag
18,3050.7601,6945.906566666667,333.3333333333333,58,0.3333333333333333,105984,58,2.0
21,3050.7601,6945.906566666667,333.3333333333333,58,0.3333333333333333,123648,58,2.0
30,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,176640,58,2.0
35,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,206080,58,2.0
41,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,241408,58,3.0
42,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,247296,58,2.0
50,3050.7601,6945.906566666667,333.3333333333333,58,1.0,294400,58,2.0
54,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,317952,58,2.0
61,3050.7601,6945.906566666667,333.3333333333333,58,0.3333333333333333,359168,58,2.0
72,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,423936,58,2.0
75,3050.7601,6945.906566666667,333.3333333333333,58,1.0,441600,58,2.0
79,3050.7601,6945.906566666667,333.3333333333333,58,0.3333333333333333,465152,58,4.0
80,3050.7601,6945.906566666667,333.3333333333333,58,0.5,471040,58,3.0
81,3050.7601,6945.906566666667,333.3333333333333,58,1.0,476928,58,2.0
92,3050.7601,6945.906566666667,333.3333333333333,58,1.0,541696,58,2.0
99,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,582912,58,2.0
104,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,612352,58,2.0
112,3050.7601,6945.906566666667,333.3333333333333,58,1.0,659456,58,3.0
113,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,665344,58,2.0
117,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,688896,58,2.0
148,3050.7601,6945.906566666667,333.3333333333333,58,1.0,871424,58,2.0
155,3050.7601,6945.906566666667,333.3333333333333,58,0.5,912640,58,2.0
162,3050.7601,6945.906566666667,333.3333333333333,58,1.0,953856,58,3.0
163,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,959744,58,2.0
173,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1018624,58,2.0
177,3050.7601,6945.906566666667,333.3333333333333,58,1.0,1042176,58,3.0
178,3050.7601,6945.906566666667,333.3333333333333,58,0.3333333333333333,1048064,58,2.0
184,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,1083392,58,2.0
205,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1207040,58,2.0
217,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1277696,58,3.0
218,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1283584,58,2.0
230,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1354240,58,2.0
235,3050.7601,6945.906566666667,333.3333333333333,58,0.5,1383680,58,2.0
272,3050.7601,6945.906566666667,333.3333333333333,58,1.0,1601536,58,3.0
273,3050.7601,6945.906566666667,333.3333333333333,58,1.0,1607424,58,2.0
282,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1660416,58,2.0
304,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1789952,58,5.0
305,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,1795840,58,4.0
306,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,1801728,58,3.0
307,3050.7601,6945.906566666667,333.3333333333333,58,0.3333333333333333,1807616,58,2.0
338,3050.7601,6945.906566666667,333.3333333333333,58,0.5,1990144,58,2.0
345,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2031360,58,5.0
346,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2037248,58,4.0
347,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2043136,58,3.0
348,3050.7601,6945.906566666667,333.3333333333333,58,0.5,2049024,58,2.0
362,3050.7601,6945.906566666667,333.3333333333333,58,1.0,2131456,58,2.0
369,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,2172672,58,2.0
373,3050.7601,6945.906566666667,333.3333333333333,58,1.0,2196224,58,2.0
402,3050.7601,6945.906566666667,333.3333333333333,58,1.0,2366976,58,2.0
416,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2449408,58,2.0
419,3050.7601,6945.906566666667,333.3333333333333,58,0.5,2467072,58,2.0
442,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,2602496,58,2.0
448,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,2637824,58,2.0
452,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2661376,58,2.0
457,3050.7601,6945.906566666667,333.3333333333333,58,0.6666666666666666,2690816,58,2.0
461,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2714368,58,2.0
468,3050.7601,6945.906566666667,333.3333333333333,58,0.5,2755584,58,2.0
471,3050.7601,6945.906566666667,333.3333333333333,58,0.8333333333333334,2773248,58,2.0
